family,n,edges,lambda2,alpha,tau_eps,rate_rho
ring,20,20,0.09788696740969281,0.45,66,0.95592448119045
grid,20,31,0.3819660112501041,0.25596368542409387,26,0.9021845728242918
erdos_renyi,20,36,0.4717845082210427,0.2418534085038449,20,0.8858347689918562
random_geometric,20,53,0.26162871827718615,0.1790666040857454,35,0.9529305055633797
watts_strogatz,20,40,0.4671003046897283,0.254213563395609,21,0.8812199678500318
ring,50,50,0.015770597371044442,0.4499999999999999,119,0.9912346567915696
grid,56,97,0.1522409349774264,0.23530344363521796,48,0.9640698259805714
erdos_renyi,50,251,3.365459668842176,0.1003188470705492,9,0.8509878987953267
random_geometric,50,309,1.079708870551249,0.08197495895725787,12,0.910085635230192
watts_strogatz,50,100,0.1448833144484747,0.2397225807468058,23,0.9649649067733642
ring,100,100,0.003946543143457135,0.4499999999999999,500,0.9978356474289647
grid,100,180,0.09788696740969169,0.2306442669608062,66,0.977143973547538
erdos_renyi,100,1021,11.12905125881115,0.055001327867951456,7,0.8559630701637571
random_geometric,100,1247,2.9443559064396316,0.04468805345096365,9,0.8681833026678649
watts_strogatz,100,200,0.1283264080198684,0.22799462379282154,63,0.9701623005252208
