label,failure_p,policy,lambda2,tau
clean,0.0,uniform,0.32940532709271303,13.1
clean,0.0,metropolis,0.11460594502445018,11.3
clean,0.0,ppo,0.6071818860488026,11.3
clean,0.1,uniform,0.23266411155427785,64.05
clean,0.1,metropolis,0.07857635555267743,86.7
clean,0.1,ppo,0.4620494386769659,37.75
clean,0.2,uniform,0.18089054720182804,67.7
clean,0.2,metropolis,0.048359317038100195,209.8
clean,0.2,ppo,0.32339103599672375,87.7
clean,0.3,uniform,0.09105408805991964,238.85
clean,0.3,metropolis,0.028395728032840444,216.35
clean,0.3,ppo,0.15804146972721467,214.6
