label,failure_p,policy,lambda2,tau
perturb,0.0,uniform,0.32940532709271303,13.1
perturb,0.0,metropolis,0.11460594502445018,11.3
perturb,0.0,ppo,0.5480748420937018,11.8
perturb,0.1,uniform,0.23266411155427785,64.05
perturb,0.1,metropolis,0.07857635555267743,86.7
perturb,0.1,ppo,0.4209685313740392,38.2
perturb,0.2,uniform,0.18089054720182804,67.7
perturb,0.2,metropolis,0.048359317038100195,209.8
perturb,0.2,ppo,0.299958987905976,87.75
perturb,0.3,uniform,0.09105408805991964,238.85
perturb,0.3,metropolis,0.028395728032840444,216.35
perturb,0.3,ppo,0.14790512349233326,214.25
